# One line per image: filename | prompt
# Keep the whole line after the | as the prompt - the shared tail is the style lock.

midnight-trench.webp | maritime still-life or scene of Midnight Trench, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
moonlit-eel.webp | maritime still-life or scene of Moonlit Eel, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
oarfish.webp | maritime still-life or scene of Oarfish, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
ocean-sunfish.webp | maritime still-life or scene of Ocean Sunfish, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
old-coin-purse.webp | maritime still-life or scene of Old Coin Purse, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
old-man-of-the-lake.webp | maritime still-life or scene of Old Man of the Lake, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
pearl-oyster.webp | maritime still-life or scene of Pearl Oyster, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
ship-s-bell.webp | maritime still-life or scene of Ship's Bell, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
silverscale-leviathan.webp | maritime still-life or scene of Silverscale Leviathan, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
sunken-chest.webp | maritime still-life or scene of Sunken Chest, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
